LOCATION,INDICATOR,SUBJECT,MEASURE,TIME_PERIOD,OBS_VALUE,ccodealp_year
ZAF,PENSIONASSET,TOT,PC_GDP,2001,47.908,ZAF01
PER,PENSIONASSET,TOT,PC_GDP,2001,6.966,PER01
NLD,PENSIONASSET,TOT,MLN_USD,2001,404910.181,NLD01
CAN,PENSIONASSET,TOT,MLN_USD,2001,365098.117,CAN01
IDN,PRIVPENSIONASSET,TOT,MLN_USD,2001,3232.867,IDN01
ISL,PRIVPENSIONASSET,TOT,MLN_USD,2001,6349.354,ISL01
DNK,PRIVPENSIONASSET,TOT,MLN_USD,2001,152546.763,DNK01
URY,PENSIONASSET,TOT,MLN_USD,2005,2153.085,URY05
HKG,PENSIONASSET,TOT,PC_GDP,2005,24.262,HKG05
EST,PENSIONASSET,TOT,MLN_USD,2005,350.971,EST05
